year, nitrate concentration[mg/L]
1980, 0.2
1981, 0.2
1982, 0.2
1983, 0.2
1984, 0.2
1985, 0.2
1986, 0.2
1987, 0.2
1988, 0.2
1989, 0.2
1998.73,4.2000000e+00
1999.24,4.6000000e+00
1999.42,4.8000000e+00
1999.70,5.4000000e+00
1999.94,5.6000000e+00
2000.96,6.2000000e+00
2001.47,6.0000000e+00
2001.72,5.0000000e+00
2002.44,6.0000000e+00
2002.94,7.4000000e+00
2003.21,6.0000000e+00
2003.69,6.6000000e+00
2004.19,6.0000000e+00
2004.44,7.8000000e+00
2004.72,6.8000000e+00
2004.97,6.6000000e+00
2005.18,7.0000000e+00
2005.49,6.2000000e+00
2005.72,5.8000000e+00
2005.93,6.0000000e+00
2006.24,6.2000000e+00
2006.50,6.2000000e+00
2006.68,6.8000000e+00
2006.93,9.6000000e+00
2007.21,8.0000000e+00
2007.45,6.8000000e+00
2007.69,7.8000000e+00
2007.92,8.2000000e+00
2008.42,7.6000000e+00
2008.92,1.0000000e+01
2009.17,9.8000000e+00
2009.42,8.8000000e+00
2009.68,1.1000000e+01
2009.92,1.1400000e+01
2010.21,1.0000000e+01
2010.47,9.2000000e+00
2010.70,1.1400000e+01
2010.91,1.1800000e+01
2011.24,1.0600000e+01
2011.43,9.6000000e+00
2011.74,1.0400000e+01
2011.92,1.1000000e+01
2012.16,1.0600000e+01
2012.49,9.0000000e+00
2012.75,9.8000000e+00
2012.92,1.0000000e+01
2013.27,1.0000000e+01
2013.50,1.1000000e+01
2013.75,1.0400000e+01
2013.96,1.0600000e+01
2014.23,1.1600000e+01
2014.47,1.0400000e+01
2014.74,1.1400000e+01
2014.96,1.2000000e+01
2015.19,1.1000000e+01
2015.45,1.0200000e+01
2015.68,9.2000000e+00
2015.95,1.0200000e+01
2016.22,1.2400000e+01
2016.47,8.4000000e+00
2016.72,7.0000000e+00
2017.04,8.0000000e+00
2017.21,7.6000000e+00
2017.71,6.8000000e+00
2017.94,7.2000000e+00
2018.71,7.8000000e+00
2018.96,6.2000000e+00
2019.21,9.4000000e+00
2019.46,8.4000000e+00
